entityId,entityType,currencyCode,ContextControlContentAvoidance,ContextControlTargeting,BrandSafety,SuspiciousActivity,Viewability,TRAQ,VideoBrandSafety,VideoSuspiciousActivity,VideoViewability
3034233,Advertiser,DKK,1.02,1.02,0.13,0.06,0.25,0.93,0.13,0.06,0.25
3037833,Advertiser,EUR,0.16568,0.16568,0.043033,0.043033,0.086065,0.129098,0.086065,0.086065,0.17213
3040133,Advertiser,EUR,0.16568,0.16568,0.03376,0.0422,0.0844,0.1266,0.0844,0.0844,0.1688
3042739,Advertiser,USD,0.2,0.2,0.05,0.05,0.1,0.15,0.1,0.1,0.2
3045132,Advertiser,CAD,0.25875,0.25875,0.065262,0.065262,0.130525,0.195787,0.130525,0.130525,0.26105
3046933,Advertiser,CHF,0.17995,0.17995,0.049658,0.049658,0.099315,0.148973,0.099315,0.099315,0.19863
3049339,Advertiser,NZD,0.28309,0.28309,0.075528,0.075528,0.151055,0.226583,0.151055,0.151055,0.30211
3050631,Advertiser,MYR,0.8157,0.8157,0.101862,0.101862,0.16298,0.101862,0.40745,0.40745,0.40745
3051931,Advertiser,CHF,0.17995,0.17995,0.049658,0.049658,0.099315,0.148973,0.099315,0.099315,0.19863
3052133,Advertiser,GBP,0.14897,0.14897,0.038922,0.038922,0.077845,0.116767,0.077845,0.077845,0.15569
3052148,Advertiser,USD,0.2,0.2,0.04,0.04,0.08,0.15,0.08,0.08,0.16
3052332,Advertiser,MXN,4.00927,4.00927,1.3,0,0,0,1.48,1.48,2.96
3052333,Advertiser,MXN,4.00927,4.00927,1.3,0,0,0,1.48,1.48,2.96
3052334,Advertiser,MXN,4.00927,4.00927,1.3,0,0,0,1.48,1.48,2.96
3052345,Advertiser,CHF,0.17995,0.17995,0.046,0.046,0.046,0.046,0.08,0.08,0.16
3052347,Advertiser,CHF,0.17995,0.17995,0.046,0.046,0.046,0.046,0.08,0.08,0.16
3052348,Advertiser,CHF,0.17995,0.17995,0.046,0.046,0.046,0.046,0.08,0.08,0.16
3053131,Advertiser,GBP,0.14897,0.14897,0.038922,0.038922,0.077845,0.116767,0.077845,0.077845,0.15569
3058232,Advertiser,AUD,0.27137,0.27137,0.06771,0.06771,0.13542,0.20313,0.13542,0.13542,0.27084
3061652,Advertiser,ARS,16.28695,16.28695,0.81,0.81,0.81,0.81,4.05,4.05,4.05
3062236,Advertiser,BRL,1.04369,1.04369,1.94E+11,1.94E+11,3.88E+11,5.83E+11,3.88E+11,3.88E+11,7.77E+11
3062237,Advertiser,BRL,1.04369,1.04369,194208,194208,388415,582623,388415,388415,776830
3062238,Advertiser,BRL,1.04369,1.04369,1.94E+11,1.94E+11,3.88E+11,5.83E+11,3.88E+11,3.88E+11,7.77E+11
3063537,Advertiser,USD,0.2,0.2,0.05,0.05,0.1,0.15,0.1,0.1,0.2
3063733,Advertiser,USD,0.2,0.2,0.05,0.05,0.1,0.15,0.1,0.1,0.2
3067331,Advertiser,USD,0.2,0.2,0.05,0.01,0.01,0,0.1,0.1,0.2
3068931,Advertiser,AUD,0.27137,0.27137,0.069055,0.069055,0.13811,0.207165,0.13811,0.13811,0.27622
3069831,Advertiser,NZD,0.28309,0.28309,0.07604,0.07604,0.15208,0.22812,0.15208,0.15208,0.30416
3070032,Advertiser,USD,0.2,0.2,0.05,0.05,0.1,0.15,0.1,0.1,0.2
3070438,Advertiser,USD,0.2,0.2,0.05,0.05,0.1,0.15,0.1,0.1,0.2
3071431,Advertiser,DKK,1.23302,1.23302,0.328425,0.328425,0.65685,0.985275,0.65685,0.65685,1.3137
3077431,Advertiser,NZD,0.28309,0.28309,0.07621,0.07621,0.15242,0.22863,0.15242,0.15242,0.30484
